Soln D Concentration,Soln A Concentration,Relative Humidity,White Noise (db),Soln B Concentration,Soln C Concentration,Tried,Percentage success
20.382,76.11,74.348,8.629,61.316,0.119,56,21.42857143
20.377,77.052,70.503,9.976,68.296,7.996,15,0
20.42,74.118,69.504,20.288,69.589,15.289,18,38.88888889
20.391,71.76,66.754,14.032,83.572,0.073,21,52.38095238
20.343,67.789,81.043,7.888,79.802,12.189,40,17.5
20.403,66.168,77.101,6.476,193.963,2.548,47,46.80851064
20.35,71.946,49.717,4.505,148.24,16.128,25,76
20.325,71.496,40.69,1.981,267.871,23.827,38,73.68421053
20.226,60.349,73.871,2.562,154.619,5.618,27,0
20.349,57.637,86.434,5.455,98.804,0,42,52.38095238
20.42,56.061,88.44,15.251,79.619,0,12,0
20.522,61.393,68.783,18.046,118.587,3.024,33,0
20.364,73.966,56.155,4.355,201.768,13.404,4,0
20.325,71.333,64.707,4.337,212.658,20.96,52,28.84615385
